yyyy,mo,dd,hh,mm,period,start_date,ICOS_precip,I_av_mm,I_CI_min_mm,I_CI_max_mm,I_SE_min_mm,I_SE_max_mm
2016,8,1,8,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,8,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,9,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,9,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,10,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,10,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,11,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,11,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,8,1,12,0,15,1.8.2016 12:00,5.06,2.12821009,0.652704417,3.265598342,1.422992373,2.746243414
2016,8,1,12,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,13,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,13,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,14,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,14,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,15,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,15,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,16,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,16,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,17,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,17,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,18,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,18,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,19,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,19,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,20,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,20,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,21,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,21,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,22,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,22,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,23,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,1,23,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,0,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,0,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,1,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,1,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,2,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,2,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,3,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,3,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,4,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,4,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,5,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,5,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,6,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,6,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,7,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,7,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,8,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,8,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,9,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,9,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,10,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,10,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,11,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,11,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,12,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,12,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,13,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,13,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,14,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,14,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,15,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,15,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,16,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,16,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,17,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,17,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,18,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,18,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,19,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,19,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,20,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,20,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,21,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,21,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,22,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,22,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,23,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,2,23,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,3,0,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,3,0,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,3,1,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,3,1,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,3,2,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,3,2,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,3,3,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,3,3,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,3,4,0,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,3,4,30,15,1.8.2016 12:00,0,0,0,0,0,0
2016,8,3,5,0,15,1.8.2016 12:00,0,0,0,0,0,0
